receptor,ligand_name,Average_ipTM,Average_pTM,Known_outcome,,,,,,,
AtFLS2,Colaianni_19,0.86,0.89,Perception,,,,,,,
AtFLS2,Colaianni_20,0.83,0.88,Perception,,,,,,,
AtFLS2,Colaianni_21,0.85,0.89,Perception,,,,,,,
AtFLS2,Colaianni_22,0.77,0.89,Perception,,,,,,,
AtFLS2,Colaianni_23,0.81,0.88,Perception,,,,,,,
AtFLS2,Colaianni_24,0.74,0.89,No perception,,,,,,,
AtFLS2,Colaianni_25,0.54,0.88,No perception,,,,,,,
AtFLS2,Colaianni_26,0.54,0.88,No perception,,,,,,,
AtFLS2,Colaianni_27,0.58,0.88,No perception,,,,,,,
AtFLS2,Colaianni_28,0.54,0.88,No perception,,,,,,,
AtFLS2,Colaianni_29,0.50,0.88,No perception,,,,,,,
AtFLS2,Colaianni_30,0.66,0.89,No perception,,,,,,,
AtFLS2,Colaianni_31,0.57,0.88,No perception,,,,,,,
AtFLS2,Colaianni_32,0.56,0.88,No perception,,,,,,,
AtFLS2,Colaianni_33,0.69,0.88,No perception,,,,,,,
AtFLS2,Colaianni_34,0.62,0.88,No perception,,,,,,,
AtFLS2,Colaianni_35,0.60,0.89,No perception,,,,,,,
AtFLS2,Colaianni_36,0.44,0.87,No perception,,,,,,,
AtFLS2,Colaianni_37,0.51,0.88,No perception,,,,,,,
AtFLS2,Colaianni_38,0.53,0.87,No perception,,,,,,,
AtFLS2,Colaianni_39,0.45,0.87,No perception,,,,,,,
AtFLS2,Colaianni_40,0.59,0.88,No perception,,,,,,,
AtFLS2,Colaianni_41,0.55,0.88,No perception,,,,,,,
AtFLS2,Colaianni_42,0.62,0.88,No perception,,,,,,,
AtFLS2,Colaianni_43,0.51,0.88,No perception,,,,,,,
AtFLS2,Colaianni_44,0.57,0.88,No perception,,,,,,,
AtFLS2,Colaianni_45,0.75,0.88,No perception,,,,,,,
AtFLS2,Colaianni_46,0.63,0.88,No perception,,,,,,,
AtFLS2,Colaianni_47,0.67,0.88,No perception,,,,,,,
AtFLS2,Colaianni_48,0.56,0.88,No perception,,,,,,,
AtFLS2,Colaianni_49,0.57,0.88,No perception,,,,,,,
AtFLS2,Colaianni_50,0.58,0.88,No perception,,,,,,,
AtFLS2,Colaianni_51,0.64,0.88,No perception,,,,,,,
AtFLS2,Colaianni_52,0.55,0.88,No perception,,,,,,,
AtFLS2,Colaianni_53,0.55,0.88,No perception,,,,,,,
AtFLS2,Colaianni_54,0.65,0.88,No perception,,,,,,,
AtFLS2,Colaianni_55,0.61,0.88,No perception,,,,,,,
AtFLS2,Colaianni_56,0.61,0.88,No perception,,,,,,,
AtFLS2,Colaianni_57,0.62,0.88,No perception,,,,,,,
AtFLS2,Colaianni_58,0.50,0.87,No perception,,,,,,,
AtFLS2,Colaianni_59,0.52,0.87,No perception,,,,,,,
AtFLS2,Colaianni_60,0.64,0.88,No perception,,,,,,,
AtFLS2,Colaianni_61,0.41,0.87,No perception,,,,,,,
AtFLS2,Colaianni_62,0.31,0.87,No perception,,,,,,,
AtFLS2,Colaianni_63,0.46,0.87,No perception,,,,,,,
AtFLS2,Colaianni_64,0.58,0.88,No perception,,,,,,,
AtFLS2,Colaianni_65,0.52,0.87,No perception,,,,,,,
AtFLS2,Colaianni_66,0.57,0.88,No perception,,,,,,,
AtFLS2,Colaianni_67,0.62,0.88,No perception,,,,,,,
AtFLS2,Colaianni_68,0.50,0.87,No perception,,,,,,,
AtFLS2,Colaianni_69,0.71,0.88,No perception,,,,,,,
AtFLS2,Colaianni_70,0.62,0.88,No perception,,,,,,,
AtFLS2,Colaianni_71,0.52,0.87,No perception,,,,,,,
AtFLS2,Colaianni_72,0.75,0.89,No perception,,,,,,,
AtFLS2,Colaianni_73,0.79,0.89,No perception,,,,,,,
AtFLS2,Colaianni_74,0.48,0.87,No perception,,,,,,,
AtFLS2,Colaianni_75,0.76,0.89,No perception,,,,,,,
AtFLS2,Colaianni_76,0.70,0.88,No perception,,,,,,,
AtFLS2,Colaianni_77,0.52,0.87,No perception,,,,,,,
AtFLS2,Colaianni_78,0.59,0.88,No perception,,,,,,,
AtFLS2,Colaianni_79,0.65,0.88,No perception,,,,,,,
AtFLS2,Colaianni_80,0.74,0.89,No perception,,,,,,,
AtFLS2,Colaianni_81,0.74,0.89,No perception,,,,,,,
AtFLS2,Colaianni_82,0.74,0.89,No perception,,,,,,,
AtFLS2,Colaianni_83,0.78,0.88,No perception,,,,,,,
AtFLS2,Chen_1,0.89,0.89,Perception,,,,,,,
AtFLS2,Chen_2,0.87,0.88,Perception,,,,,,,
AtFLS2,Chen_3,0.67,0.88,No perception,,,,,,,
AtFLS2,Chen_4,0.81,0.88,No perception,,,,,,,
AtFLS2,Paeflg22,0.84,0.90,Perception,,,,,,,
AtFLS2,Atuflg22,0.70,0.88,No perception,,,,,,,
AtFLS2,Rrhflg22,0.49,0.87,No perception,,,,,,,
AtFLS2,Rso_1flg22,0.82,0.89,No perception,,,,,,,
AtFLS2,Rso_2flg22,0.78,0.88,No perception,,,,,,,
AtFLS2,Ddiflg22,0.82,0.88,No perception,,,,,,,
AtFLS2,Eamflg22,0.66,0.88,No perception,,,,,,,
AtFLS2,Pviflg22,0.78,0.89,No perception,,,,,,,
AtFLS2,Xfrflg22,0.44,0.87,No perception,,,,,,,
AtFLS2,Xorflg22,0.42,0.88,No perception,,,,,,,
